x1,x01 (t shorter than h),x11 (t even with h),x21 (t taller than h),x31 (No set pattern)
Total,78%(156),1.5%(3),5.5%(11),15%(30)
x02 (retraced staff) ,23.1%(36),66.6%(2),45.5%(5),40%(12)
x12 (curved right) ,36.5%(57),0%(0),9.1%(1),20%(6)
x22 (curved left),2.6%(4),0%(0),0%(0),3.3%(1)
x32 (both curved),17.3%(27),0%(0),18.2%(2),16.7%(5)
x42 (no pattern),20.5%(32),33.3%(1),27.3%(3),20%(6)
x04 (upper staff) ,73.7%(115),100%(3),72.7%(8),56.7%(17)
x14 (lower staff) ,7.7%(12),0%(0),27.3%(3),20%(6)
x24 (above staff) ,1.3%(2),0%(0),0%(0),0%(0)
x34 (no pattern),17.3%(27),0%(0),0%(0),23.3%(7)
x06 (tented t) ,1.9%(3),0%(0),0%(0),0%(0)
x16 (single stroke t) ,28.2%(44),66.6%(2),54.5%(6),40%(12)
x26 (looped t) ,12.8%(20),33.3%(1),9.1%(1),20%(6)
x36 (closed t),35.2%(55),0%(0),18.2%(2),20%(6)
x46 (mixed shapes) ,21.8%(34),0%(0),18.2%(2),20%(6)
