x4,x04 (upper staff),x14 (lower staff),x24 (above staff),x34 (no pattern)
Total,71.5%(143),10.5%(21),1%(2),17%(34)
x01 (t shorter than h),80.4%(115),57.1%(12),100%(2),79.4%(27)
x11 (t even with h),2.1%(3),0%(0),0%(0),0%(0)
x21 (t taller than h),5.6%(8),14.3%(3),0%(0),0%(0)
x31 (no set pattern),11.9%(17),28.6%(6),0%(0),20.6%(7)
x02 (retraced staff),30.8%(44),23.8%(5),0%(0),17.6%(6)
x12 (curved right),32.2%(46),28.6%(6),100%(2),32.3%(11)
x22 (curved left),2.8%(4),0%(0),0%(0),2.9%(1)
x32 (both curved),15.4%(22),19%(4),0%(0),23.5%(8)
x42 (no pattern),19.6%(28),28.6%(6),0%(0),23.5%(8)
x06 (tented t),2.1%(3),0%(0),0%(0),0%(0)
x16 (single stroke t),28%(40),57.1%(12),0%(0),35.3%(12)
x26 (looped t),15.4%(22),14.3%(3),0%(0),8.8%(3)
x36 (closed t),32.9%(47),19%(4),50%(1),32.3%(11)
x46 (mixed t),21.7%(31),9.5%(2),50%(1),23.5%(8)
